i,  t,X1,X2,X3,X4,X5,
36,              3.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
37,              3.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
38,              3.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
39,              3.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
40,              3.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
41,                4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
42,              4.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
43,              4.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
44,              4.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
45,              4.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
46,              4.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
47,              4.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
48,              4.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
49,              4.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
50,              4.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
51,                5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
52,              5.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
53,              5.2e-07,                   1,                 0.9,         7.52334e-07,         1.05547e-09,        -6.80863e-09,                  19,                    0
54,              5.3e-07,                   1,                 0.8,         2.03203e-05,         2.66124e-08,        -6.89416e-09,                  23,                    0
55,              5.4e-07,                   1,                 0.7,          0.00047172,         5.59363e-07,        -9.93974e-09,                  27,                    0
56,              5.5e-07,                   1,                 0.6,          0.00622499,         6.32561e-06,         -1.9145e-08,                  33,                    0
57,              5.6e-07,                   1,                 0.5,           0.0373947,         2.82676e-05,        -1.74329e-08,                  45,                    0
58,              5.7e-07,                   1,                 0.4,            0.597919,         6.15157e-05,        -2.17476e-08,                 165,                    0
59,              5.8e-07,                   1,                 0.3,            0.961463,          2.2444e-05,        -2.88679e-08,                  57,                    0
60,              5.9e-07,                   1,                 0.2,            0.995703,         3.30776e-06,        -1.25118e-08,                  45,                    0
61,                6e-07,                   1,                 0.1,            0.999755,         2.22917e-07,        -9.90927e-09,                  42,                    0
62,              6.1e-07,                   1,                   0,            0.999988,         1.26712e-08,        -9.24569e-09,                  35,                    0
2,                1e-08,                   1,                   0,            0.999988,         1.26712e-08,         7.37442e-08,                  35,                    0
3,                2e-08,                   1,                 0.1,            0.999755,         2.22917e-07,         9.16821e-09,                  42,                    0
4,                3e-08,                   1,                 0.2,            0.995703,         3.30776e-06,            1.01e-08,                  45,                    0
5,                4e-08,                   1,                 0.3,            0.961463,          2.2444e-05,         1.29347e-08,                  57,                    0
6,                5e-08,                   1,                 0.4,            0.597919,         6.15157e-05,         2.78774e-08,                 165,                    0
7,                6e-08,                   1,                 0.5,           0.0373947,         2.82676e-05,          2.2398e-08,                  45,                    0
8,                7e-08,                   1,                 0.6,          0.00622499,         6.32561e-06,         1.69648e-08,                  33,                    0
9,                8e-08,                   1,                 0.7,          0.00047172,         5.59363e-07,         1.82334e-08,                  27,                    0
10,                9e-08,                   1,                 0.8,         2.03203e-05,         2.66124e-08,         9.76951e-09,                  23,                    0
11,                1e-07,                   1,                 0.9,         7.52334e-07,         1.05547e-09,         6.97373e-09,                  19,                    0
12,              1.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         6.89034e-09,                  15,                    0
13,              1.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
14,              1.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
15,              1.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
16,              1.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
17,              1.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
18,              1.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
19,              1.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
20,              1.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
21,                2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
22,              2.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
23,              2.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
24,              2.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
25,              2.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
26,              2.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
27,              2.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
28,              2.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
29,              2.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
30,              2.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
31,                3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
32,              3.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
33,              3.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
34,              3.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
35,              3.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
36,              3.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
37,              3.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
38,              3.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
39,              3.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
40,              3.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
41,                4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
42,              4.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
43,              4.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
44,              4.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
45,              4.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
46,              4.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
47,              4.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
48,              4.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
49,              4.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
50,              4.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
51,                5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
52,              5.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
53,              5.2e-07,                   1,                 0.9,         7.52334e-07,         1.05547e-09,        -6.80863e-09,                  19,                    0
54,              5.3e-07,                   1,                 0.8,         2.03203e-05,         2.66124e-08,        -6.89416e-09,                  23,                    0
55,              5.4e-07,                   1,                 0.7,          0.00047172,         5.59363e-07,        -9.93974e-09,                  27,                    0
56,              5.5e-07,                   1,                 0.6,          0.00622499,         6.32561e-06,         -1.9145e-08,                  33,                    0
57,              5.6e-07,                   1,                 0.5,           0.0373947,         2.82676e-05,        -1.74329e-08,                  45,                    0
2,                1e-08,                   1,                   0,            0.999988,         1.26712e-08,         7.37442e-08,                  35,                    0
3,                2e-08,                   1,                 0.1,            0.999755,         2.22917e-07,         9.16821e-09,                  42,                    0
4,                3e-08,                   1,                 0.2,            0.995703,         3.30776e-06,            1.01e-08,                  45,                    0
5,                4e-08,                   1,                 0.3,            0.961463,          2.2444e-05,         1.29347e-08,                  57,                    0
6,                5e-08,                   1,                 0.4,            0.597919,         6.15157e-05,         2.78774e-08,                 165,                    0
7,                6e-08,                   1,                 0.5,           0.0373947,         2.82676e-05,          2.2398e-08,                  45,                    0
8,                7e-08,                   1,                 0.6,          0.00622499,         6.32561e-06,         1.69648e-08,                  33,                    0
9,                8e-08,                   1,                 0.7,          0.00047172,         5.59363e-07,         1.82334e-08,                  27,                    0
10,                9e-08,                   1,                 0.8,         2.03203e-05,         2.66124e-08,         9.76951e-09,                  23,                    0
11,                1e-07,                   1,                 0.9,         7.52334e-07,         1.05547e-09,         6.97373e-09,                  19,                    0
12,              1.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         6.89034e-09,                  15,                    0
13,              1.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
14,              1.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
15,              1.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
16,              1.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
17,              1.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
18,              1.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
19,              1.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
20,              1.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
21,                2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
22,              2.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
23,              2.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
24,              2.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
25,              2.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
26,              2.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
27,              2.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
28,              2.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
29,              2.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
30,              2.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
31,                3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
32,              3.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
33,              3.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
34,              3.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
35,              3.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
36,              3.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
37,              3.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
38,              3.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
39,              3.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
40,              3.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
41,                4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
42,              4.1e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
43,              4.2e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
44,              4.3e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
45,              4.4e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
46,              4.5e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
47,              4.6e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
48,              4.7e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
49,              4.8e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
50,              4.9e-07,                   1,                   1,         3.05796e-08,         4.41105e-11,         1.25009e-11,                  15,                    0
